Domain,Base Domain,Participates in Analytics
18f.gov,18f.gov,False
2020census.gov,2020census.gov,False
9-11commission.gov,9-11commission.gov,False
911.gov,911.gov,False
911commission.gov,911commission.gov,False
aapi.gov,aapi.gov,False
abandonedmines.gov,abandonedmines.gov,False
abilityone.gov,abilityone.gov,False
abmc.gov,abmc.gov,True
abmcscholar.gov,abmcscholar.gov,False
access-board.gov,access-board.gov,True
acf.gov,acf.gov,False
achp.gov,achp.gov,False
acl.gov,acl.gov,False
acquisition.gov,acquisition.gov,True
acus.gov,acus.gov,False
acwi.gov,acwi.gov,True
ada.gov,ada.gov,True
adf.gov,adf.gov,False
adlnet.gov,adlnet.gov,True
admongo.gov,admongo.gov,False
adr.gov,adr.gov,True
afadvantage.gov,afadvantage.gov,True
aff.gov,aff.gov,True
afrh.gov,afrh.gov,False
africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,False
aftac.gov,aftac.gov,False
afterschool.gov,afterschool.gov,False
ag.gov,ag.gov,False
aging.gov,aging.gov,False
agingstats.gov,agingstats.gov,False
ahcpr.gov,ahcpr.gov,False
ahrq.gov,ahrq.gov,True
aids.gov,aids.gov,False
airnow.gov,airnow.gov,True
alaskacenters.gov,alaskacenters.gov,True
alertaenlinea.gov,alertaenlinea.gov,False
altusandc.gov,altusandc.gov,False
alzheimers.gov,alzheimers.gov,True
ama.gov,ama.gov,False
amberalert.gov,amberalert.gov,True
america.gov,america.gov,False
americanmemory.gov,americanmemory.gov,False
americaslibrary.gov,americaslibrary.gov,False
americasstory.gov,americasstory.gov,False
americathebeautifulquarters.gov,americathebeautifulquarters.gov,True
americorp.gov,americorp.gov,False
americorps.gov,americorps.gov,False
ameslab.gov,ameslab.gov,False
amtrakoig.gov,amtrakoig.gov,False
anchorit.gov,anchorit.gov,False
anl.gov,anl.gov,False
annualcreditreport.gov,annualcreditreport.gov,False
anstaskforce.gov,anstaskforce.gov,False
aoa.gov,aoa.gov,False
aoc.gov,aoc.gov,False
ap.gov,ap.gov,False
app.gov,app.gov,False
applicationmanager.gov,applicationmanager.gov,True
apps.gov,apps.gov,True
arc.gov,arc.gov,False
archives.gov,archives.gov,True
arctic.gov,arctic.gov,True
arm.gov,arm.gov,False
ars-grin.gov,ars-grin.gov,True
arsusda.gov,arsusda.gov,False
arts.gov,arts.gov,True
asap.gov,asap.gov,False
asc.gov,asc.gov,False
asianpacificheritage.gov,asianpacificheritage.gov,False
askkaren.gov,askkaren.gov,False
atcreform.gov,atcreform.gov,False
atf.gov,atf.gov,True
atfonline.gov,atfonline.gov,False
atvsafety.gov,atvsafety.gov,False
aviationweather.gov,aviationweather.gov,True
ayudaconmibanco.gov,ayudaconmibanco.gov,True
bam.gov,bam.gov,False
bankanswers.gov,bankanswers.gov,True
bankcustomer.gov,bankcustomer.gov,True
bankcustomerassistance.gov,bankcustomerassistance.gov,True
bankhelp.gov,bankhelp.gov,True
banknet.gov,banknet.gov,True
bankruptcy.gov,bankruptcy.gov,False
bats.gov,bats.gov,False
bbg.gov,bbg.gov,True
bcfp.gov,bcfp.gov,False
bea.gov,bea.gov,True
befoodsafe.gov,befoodsafe.gov,False
benefits.gov,benefits.gov,True
bep.gov,bep.gov,True
betobaccofree.gov,betobaccofree.gov,False
bfem.gov,bfem.gov,False
bia.gov,bia.gov,True
bidentransition.gov,bidentransition.gov,False
bioeco.gov,bioeco.gov,False
bioethics.gov,bioethics.gov,False
biomassboard.gov,biomassboard.gov,True
biometriccoe.gov,biometriccoe.gov,False
biometrics.gov,biometrics.gov,False
biopreferred.gov,biopreferred.gov,True
biosecurityboard.gov,biosecurityboard.gov,False
bja.gov,bja.gov,True
bjs.gov,bjs.gov,True
bldrdoc.gov,bldrdoc.gov,False
blm.gov,blm.gov,False
bls.gov,bls.gov,True
bnl.gov,bnl.gov,False
boem.gov,boem.gov,True
boemre.gov,boemre.gov,False
bondpro.gov,bondpro.gov,True
bop.gov,bop.gov,True
bor.gov,bor.gov,False
bosque.gov,bosque.gov,True
bpa.gov,bpa.gov,False
brac.gov,brac.gov,True
brainhealth.gov,brainhealth.gov,False
brc.gov,brc.gov,False
broadband.gov,broadband.gov,False
broadbandmap.gov,broadbandmap.gov,False
bsee.gov,bsee.gov,True
bts.gov,bts.gov,True
budget.gov,budget.gov,False
budgetlob.gov,budgetlob.gov,False
buildingamerica.gov,buildingamerica.gov,False
business.gov,business.gov,False
businessdefense.gov,businessdefense.gov,True
businessusa.gov,businessusa.gov,False
buyaccessible.gov,buyaccessible.gov,True
buyusa.gov,buyusa.gov,True
campusdrugprevention.gov,campusdrugprevention.gov,True
cancer.gov,cancer.gov,True
cancernet.gov,cancernet.gov,False
cao.gov,cao.gov,True
cap.gov,cap.gov,False
capital.gov,capital.gov,False
capitol.gov,capitol.gov,False
capnhq.gov,capnhq.gov,False
casl.gov,casl.gov,False
cavc.gov,cavc.gov,False
cbca.gov,cbca.gov,False
cbi-epa.gov,cbi-epa.gov,False
cbo.gov,cbo.gov,False
cbonews.gov,cbonews.gov,False
cbp.gov,cbp.gov,True
ccac.gov,ccac.gov,True
cdc.gov,cdc.gov,True
cdcpartners.gov,cdcpartners.gov,False
cdfifund.gov,cdfifund.gov,False
ce-ncsc.gov,ce-ncsc.gov,False
cebaf.gov,cebaf.gov,False
cecc.gov,cecc.gov,False
cendi.gov,cendi.gov,False
census.gov,census.gov,True
cep.gov,cep.gov,True
cerebrosano.gov,cerebrosano.gov,False
cfa.gov,cfa.gov,True
cfda.gov,cfda.gov,True
cfo.gov,cfo.gov,True
cfoc.gov,cfoc.gov,False
cfpa.gov,cfpa.gov,False
cfpb.gov,cfpb.gov,False
cftc.gov,cftc.gov,True
challenge.gov,challenge.gov,True
challenges.gov,challenges.gov,False
changeofaddress.gov,changeofaddress.gov,False
chcoc.gov,chcoc.gov,True
chemsafety.gov,chemsafety.gov,False
childreninadversity.gov,childreninadversity.gov,True
childstats.gov,childstats.gov,True
childwelfare.gov,childwelfare.gov,True
china-commission.gov,china-commission.gov,False
chinacommission.gov,chinacommission.gov,False
choosemyplate.gov,choosemyplate.gov,True
cia.gov,cia.gov,False
cigie.gov,cigie.gov,False
cio.gov,cio.gov,True
ciso.gov,ciso.gov,False
citizencorps.gov,citizencorps.gov,False
citizencosponsors.gov,citizencosponsors.gov,False
citizens.gov,citizens.gov,False
citizenscience.gov,citizenscience.gov,True
civilrightsusa.gov,civilrightsusa.gov,False
cjis.gov,cjis.gov,False
climate.gov,climate.gov,True
clinicaltrial.gov,clinicaltrial.gov,False
clinicaltrials.gov,clinicaltrials.gov,False
clintonlibrary.gov,clintonlibrary.gov,True
cloud.gov,cloud.gov,True
cms.gov,cms.gov,True
cmts.gov,cmts.gov,True
cncs.gov,cncs.gov,False
cncsoig.gov,cncsoig.gov,False
cns.gov,cns.gov,False
cnss.gov,cnss.gov,True
coastalamerica.gov,coastalamerica.gov,False
code.gov,code.gov,True
collegedrinkingprevention.gov,collegedrinkingprevention.gov,False
collegenavigator.gov,collegenavigator.gov,False
commerce.gov,commerce.gov,True
complaintreferralexpress.gov,complaintreferralexpress.gov,False
compliance.gov,compliance.gov,False
comptrollerofthecurrency.gov,comptrollerofthecurrency.gov,True
computersforlearning.gov,computersforlearning.gov,True
congress.gov,congress.gov,False
congressionaldirectory.gov,congressionaldirectory.gov,False
congressionalrecord.gov,congressionalrecord.gov,False
connect.gov,connect.gov,True
consumer.gov,consumer.gov,True
consumeraction.gov,consumeraction.gov,False
consumerbureau.gov,consumerbureau.gov,False
consumerfinance.gov,consumerfinance.gov,True
consumerfinancial.gov,consumerfinancial.gov,False
consumerfinancialbureau.gov,consumerfinancialbureau.gov,False
consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,False
consumerprotection.gov,consumerprotection.gov,False
consumerprotectionbureau.gov,consumerprotectionbureau.gov,False
consumersentinel.gov,consumersentinel.gov,False
consumersentinelnetwork.gov,consumersentinelnetwork.gov,False
consumidor.gov,consumidor.gov,True
continentalshelf.gov,continentalshelf.gov,True
contractdirectory.gov,contractdirectory.gov,True
copyright.gov,copyright.gov,False
coralreef.gov,coralreef.gov,True
cosponsor.gov,cosponsor.gov,False
cpars.gov,cpars.gov,True
cpnireporting.gov,cpnireporting.gov,False
cpsc.gov,cpsc.gov,True
crb.gov,crb.gov,False
crimesolutions.gov,crimesolutions.gov,True
crimevictims.gov,crimevictims.gov,True
crs.gov,crs.gov,False
crt2014-2024review.gov,crt2014-2024review.gov,False
csb.gov,csb.gov,False
csce.gov,csce.gov,False
csosa.fed.us,csosa.fed.us,False
csosa.gov,csosa.gov,False
ctoc.gov,ctoc.gov,False
cttso.gov,cttso.gov,True
cuidadodesalud.gov,cuidadodesalud.gov,False
cupcao.gov,cupcao.gov,True
cwc.gov,cwc.gov,False
cyber.gov,cyber.gov,False
cybercareers.gov,cybercareers.gov,False
cybercrime.gov,cybercrime.gov,False
cybersecurity.gov,cybersecurity.gov,False
data.gov,data.gov,True
dc3on.gov,dc3on.gov,False
dea.gov,dea.gov,True
deadiversion.gov,deadiversion.gov,False
deaecom.gov,deaecom.gov,False
deals.gov,deals.gov,False
defense.gov,defense.gov,True
defensebusiness.gov,defensebusiness.gov,False
