Domain,Base Domain,Scanned Hostname,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Errors
0sud2zwje3.adlnet.gov,adlnet.gov,0sud2zwje3.adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
1.usa.gov,usa.gov,1.usa.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
1010ez.med.va.gov,va.gov,www.1010ez.med.va.gov,False,False,False,True,True,True,False,384,False,False,False,,,,,,,,,,
11111011100.api2.whitehouse.gov,whitehouse.gov,11111011100.api2.whitehouse.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
11111011100.bot.whitehouse.gov,whitehouse.gov,11111011100.bot.whitehouse.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
11111011100.petitions.whitehouse.gov,whitehouse.gov,11111011100.petitions.whitehouse.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
11111011100.whitehouse.gov,whitehouse.gov,11111011100.whitehouse.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
11ch0208.nichd.nih.gov,nih.gov,11ch0208.nichd.nih.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
1603.treasury.gov,treasury.gov,1603.treasury.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
1800quitnow.cancer.gov,cancer.gov,1800quitnow.cancer.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
1861.history.state.gov,state.gov,1861.history.state.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
18f.gsa.gov,gsa.gov,18f.gsa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
18franklin.18f.gov,18f.gov,18franklin.18f.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
1940census.archives.gov,archives.gov,1940census.archives.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
1991.history.state.gov,state.gov,1991.history.state.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
1997-2001.state.gov,state.gov,1997-2001.state.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
19january2017snapshot.epa.gov,epa.gov,19january2017snapshot.epa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
1stop.usgs.gov,usgs.gov,1stop.usgs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
1wv19vsec01.nrel.gov,nrel.gov,1wv19vsec01.nrel.gov,False,False,False,True,True,True,False,570,False,False,False,,,,,,,,,,
1wv19vsec02.nrel.gov,nrel.gov,1wv19vsec02.nrel.gov,False,False,False,True,True,True,False,570,False,False,False,,,,,,,,,,
2001-2009.commerce.gov,commerce.gov,2001-2009.commerce.gov,False,False,True,True,True,True,False,384,False,False,True,,,,,,,,,,
2001-2009.state.gov,state.gov,2001-2009.state.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
2002-2009-fpc.state.gov,state.gov,2002-2009-fpc.state.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2006-2009.pepfar.gov,pepfar.gov,2006-2009.pepfar.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2009-2017-fpc.state.gov,state.gov,2009-2017-fpc.state.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2009-2017-usun.state.gov,state.gov,2009-2017-usun.state.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2009-2017.pepfar.gov,pepfar.gov,2009-2017.pepfar.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2009-2017.state.gov,state.gov,2009-2017.state.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2010-2014.commerce.gov,commerce.gov,2010-2014.commerce.gov,False,False,True,True,True,True,False,384,False,False,True,,,,,,,,,,
2012-keystonepipeline-xl.state.gov,state.gov,2012-keystonepipeline-xl.state.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2013.volunteeringinamerica.gov,volunteeringinamerica.gov,2013.volunteeringinamerica.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
2014-2017.commerce.gov,commerce.gov,2014-2017.commerce.gov,False,False,True,True,True,True,False,384,False,False,True,,,,,,,,,,
2016.bbg.gov,bbg.gov,2016.bbg.gov,False,True,True,True,True,True,False,256,True,False,True,,,,,,,,,,
2016.export.gov,export.gov,2016.export.gov,False,False,True,False,False,True,False,256,True,False,True,,,,,,,,,,
21apr.ed.gov,ed.gov,21apr.ed.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
222.adlnet.gov,adlnet.gov,222.adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
263.usajobs.gov,usajobs.gov,263.usajobs.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
2www.adlnet.gov,adlnet.gov,2www.adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
340bregistration.hrsa.gov,hrsa.gov,340bregistration.hrsa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
360.dea.gov,dea.gov,360.dea.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
382reporting.ost.dot.gov,dot.gov,382reporting.ost.dot.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
399awseg001.aw.dmz.pitc.gov,pitc.gov,399awseg001.aw.dmz.pitc.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
399awseg002.aw.dmz.pitc.gov,pitc.gov,399awseg002.aw.dmz.pitc.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
399e-segs002.aw.dmz.pitc.gov,pitc.gov,399e-segs002.aw.dmz.pitc.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
3d.wr.usgs.gov,usgs.gov,3d.wr.usgs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
3dmaggs.larc.nasa.gov,nasa.gov,3dmaggs.larc.nasa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
3dparks.wr.usgs.gov,usgs.gov,3dparks.wr.usgs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
3dprint.nih.gov,nih.gov,3dprint.nih.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
3dprinting.sandia.gov,sandia.gov,3dprinting.sandia.gov,False,False,True,True,True,False,False,,True,False,True,,,,,,,,,,
3dr.adlnet.gov,adlnet.gov,3dr.adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
3dvcell.ncbi.nlm.nih.gov,nih.gov,3dvcell.ncbi.nlm.nih.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
3lzbivapdo.adlnet.gov,adlnet.gov,3lzbivapdo.adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
3pdp.fmcsa.dot.gov,dot.gov,3pdp.fmcsa.dot.gov,False,False,True,False,False,True,False,256,True,False,True,,,,,,,,,,
4mmp.cdc.gov,cdc.gov,4mmp.cdc.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
50.neh.gov,neh.gov,50.neh.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
508.hhs.gov,hhs.gov,508.hhs.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
508.nih.gov,nih.gov,508.nih.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
5241orderrequest.sandia.gov,sandia.gov,5241orderrequest.sandia.gov,False,False,True,True,True,False,False,,True,False,True,,,,,,,,,,
52weeks4women.sites.usa.gov,usa.gov,52weeks4women.sites.usa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
58000.nih.gov,nih.gov,58000.nih.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
5gmm.nist.gov,nist.gov,5gmm.nist.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
60plus.smokefree.gov,smokefree.gov,60plus.smokefree.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
7-seas.gsfc.nasa.gov,nasa.gov,7-seas.gsfc.nasa.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
72a.gsa.gov,gsa.gov,72a.gsa.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
858checklist.sandia.gov,sandia.gov,858checklist.sandia.gov,False,False,True,True,True,False,False,,True,False,True,,,,,,,,,,
858facreq.sandia.gov,sandia.gov,858facreq.sandia.gov,False,False,True,True,True,False,False,,True,False,True,,,,,,,,,,
86dev.sandia.gov,sandia.gov,86dev.sandia.gov,False,False,True,True,True,False,False,,True,False,True,,,,,,,,,,
a-acano-webrtc.senate.gov,senate.gov,a-acano-webrtc.senate.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
a-ta-expresse1.senate.gov,senate.gov,a-ta-expresse1.senate.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
a-train-neworleans2010.larc.nasa.gov,nasa.gov,a-train-neworleans2010.larc.nasa.gov,False,False,True,True,True,True,False,521,False,False,False,,,,,,,,,,
a130.cio.gov,cio.gov,a130.cio.gov,False,True,True,True,True,True,False,256,True,False,True,,,,,,,,,,
a2e.energy.gov,energy.gov,a2e.energy.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
a2e.pnnl.gov,pnnl.gov,a2e.pnnl.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
aaa-itsupport.usgs.gov,usgs.gov,aaa-itsupport.usgs.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
aaap.gsa.gov,gsa.gov,aaap.gsa.gov,False,False,False,True,True,True,False,2048,False,False,True,,,,,,,,,,
aaav.usaid.gov,usaid.gov,aaav.usaid.gov,False,True,True,False,False,True,False,256,False,False,True,,,,,,,,,,
aab.larc.nasa.gov,nasa.gov,aab.larc.nasa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
aacinquiry.fas.gsa.gov,gsa.gov,aacinquiry.fas.gsa.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
aad.archives.gov,archives.gov,aad.archives.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
aads.faa.gov,faa.gov,aads.faa.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
aah.nlm.nih.gov,nih.gov,aah.nlm.nih.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
aai.anl.gov,anl.gov,,,,,,,,,,,,,,,,,,,,,,
aapi.data.gov,data.gov,www.aapi.data.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
aas.gsa.gov,gsa.gov,aas.gsa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
aasis.omha.hhs.gov,hhs.gov,aasis.omha.hhs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
aasm.sc.egov.usda.gov,usda.gov,aasm.sc.egov.usda.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
aasz-vtks-2.cdc.gov,cdc.gov,aasz-vtks-2.cdc.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
aav2.ninds.nih.gov,nih.gov,aav2.ninds.nih.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
abacustest.ofda.gov,ofda.gov,abacustest.ofda.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
abarrshvuat.ofac.treas.gov,treas.gov,abarrshvuat.ofac.treas.gov,False,False,True,True,True,True,False,256,True,False,True,,,,,,,,,,
